universite_adi,bolum_adi,puan_2024,tur
BOĞAZİÇİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),360.24913,bilgisayar
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),357.07741,bilgisayar
İSTANBUL TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),356.70443,bilgisayar
TÜRK-ALMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Almanca),355.54065,bilgisayar
YILDIZ TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,351.36913,bilgisayar
HACETTEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),350.90776,bilgisayar
GALATASARAY ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Fransızca),350.34829,bilgisayar
MARMARA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),345.63073,bilgisayar
BAHÇEŞEHİR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),344.71344,bilgisayar
GEBZE TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),342.85327,bilgisayar
ANKARA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),341.89197,bilgisayar
GAZİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,341.64435,bilgisayar
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Bilgisayar Mühendisliği,338.59574,bilgisayar
GAZİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,338.51225,bilgisayar
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,Bilgisayar Mühendisliği (İngilizce),338.24212,bilgisayar
YEDİTEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),338.15562,bilgisayar
MARMARA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,337.22435,bilgisayar
ANKARA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,336.95528,bilgisayar
EGE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),335.63968,bilgisayar
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),334.63325,bilgisayar
İSTANBUL AYDIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),334.41128,bilgisayar
BAŞKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),334.41009,bilgisayar
YAŞAR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),334.14385,bilgisayar
İZMİR EKONOMİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),333.64421,bilgisayar
İSTANBUL BİLGİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),333.52946,bilgisayar
IŞIK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),333.42789,bilgisayar
DOKUZ EYLÜL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),332.34068,bilgisayar
ÇANKAYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),332.02303,bilgisayar
PAMUKKALE ÜNİVERSİTESİ,Bilgisayar Mühendisliği,331.85392,bilgisayar
BAŞKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),331.82342,bilgisayar
İSTANBUL MEDENİYET ÜNİVERSİTESİ,Bilgisayar Mühendisliği,331.68112,bilgisayar
İSTANBUL TİCARET ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),330.02334,bilgisayar
AKDENİZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),329.84711,bilgisayar
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),329.77956,bilgisayar
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),329.51844,bilgisayar
