universite_adi,bolum_adi,kontenjan,tur
"Abdullah Gül Üniversitesi (Kayseri)","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi","Yazılım Mühendisliği (İngilizce)","3","yazilim"
"Adıyaman Üniversitesi","Bilgisayar Mühendisliği","2","bilgisayar"
"Afyon Kocatepe Üniversitesi (Afyonkarahisar)","Bilgisayar Mühendisliği","3","bilgisayar"
"Akdeniz Üniversitesi (Antalya)","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Aksaray Üniversitesi","Yazılım Mühendisliği","3","yazilim"
"Alanya Alaaddin Keykubat Üniversitesi (Antalya)","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Amasya Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Ankara Üniversitesi","Bilgisayar Mühendisliği","2","bilgisayar"
"Ankara Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","2","bilgisayar"
"Ankara Üniversitesi","Yazılım Mühendisliği","1","yazilim"
"Ankara Yıldırım Beyazıt Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Ankara Yıldırım Beyazıt Üniversitesi","Yazılım Mühendisliği (İngilizce)","3","yazilim"
"Ardahan Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Artvin Çoruh Üniversitesi","Bilgisayar Mühendisliği","2","bilgisayar"
"Atatürk Üniversitesi (Erzurum)","Bilgisayar Mühendisliği","2","bilgisayar"
"Atatürk Üniversitesi (Erzurum)","Bilgisayar Mühendisliği (İngilizce)","1","bilgisayar"
"Atatürk Üniversitesi (Erzurum)","Yazılım Mühendisliği","1","yazilim"
"Aydın Adnan Menderes Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Balıkesir Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Bandırma Onyedi Eylül Üniversitesi (Balıkesir)","Bilgisayar Mühendisliği","3","bilgisayar"
"Bandırma Onyedi Eylül Üniversitesi (Balıkesir)","Yazılım Mühendisliği","3","yazilim"
"Bartın Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Batman Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Bilecik Şeyh Edebali Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Bingöl Üniversitesi","Bilgisayar Mühendisliği","2","bilgisayar"
"Bitlis Eren Üniversitesi","Bilgisayar Mühendisliği","2","bilgisayar"
"Boğaziçi Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce)","1","bilgisayar"
"Bolu Abant İzzet Baysal Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Burdur Mehmet Akif Ersoy Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Burdur Mehmet Akif Ersoy Üniversitesi","Yazılım Mühendisliği","3","yazilim"
"Bursa Teknik Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Bursa Uludağ Üniversitesi","Bilgisayar Mühendisliği","2","bilgisayar"
"Çanakkale Onsekiz Mart Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Çankırı Karatekin Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Çukurova Üniversitesi (Adana)","Bilgisayar Mühendisliği (İngilizce)","2","bilgisayar"
"Dokuz Eylül Üniversitesi (İzmir)","Bilgisayar Mühendisliği (İngilizce)","2","bilgisayar"
"Düzce Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Düzce Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Erciyes Üniversitesi (Kayseri)","Bilgisayar Mühendisliği","2","bilgisayar"
"Erciyes Üniversitesi (Kayseri)","Yazılım Mühendisliği (İngilizce)","1","yazilim"
"Erzincan Binali Yıldırım Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Erzurum Teknik Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Erzurum Teknik Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","2","bilgisayar"
"Eskişehir Osmangazi Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Eskişehir Teknik Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","3","bilgisayar"
"Fırat Üniversitesi (Elazığ)","Bilgisayar Mühendisliği","2","bilgisayar"
"Fırat Üniversitesi (Elazığ)","Yazılım Mühendisliği","1","yazilim"
"Galatasaray Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Fransızca)","1","bilgisayar"
"Gazi Üniversitesi (Ankara)","Bilgisayar Mühendisliği","2","bilgisayar"
"Gaziantep İslam Bilim ve Teknoloji Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Gebze Teknik Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","2","bilgisayar"
"Giresun Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Gümüşhane Üniversitesi","Yazılım Mühendisliği","3","yazilim"
"Hacettepe Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce)","2","bilgisayar"
"Harran Üniversitesi (Şanlıurfa)","Bilgisayar Mühendisliği","3","bilgisayar"
"Harran Üniversitesi (Şanlıurfa)","Yazılım Mühendisliği","2","yazilim"
"Iğdır Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Iğdır Üniversitesi","Yazılım Mühendisliği","2","yazilim"
"Isparta Uygulamalı Bilimler Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"İnönü Üniversitesi (Malatya)","Bilgisayar Mühendisliği","3","bilgisayar"
"İnönü Üniversitesi (Malatya)","Yazılım Mühendisliği","3","yazilim"
"İskenderun Teknik Üniversitesi (Hatay)","Bilgisayar Mühendisliği","3","bilgisayar"
"İstanbul Medeniyet Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
